Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
EMC2--ANKLE2,ENSG00000104412,EMC2,ENSG00000104412,ANKLE2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EMC2--TRPS1,ENSG00000104412,EMC2,ENSG00000104412,TRPS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EMC4--HAUS1,ENSG00000128463,EMC4,ENSG00000128463,HAUS1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EMILIN2--UBXN7,ENSG00000132205,EMILIN2,ENSG00000132205,UBXN7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EMILIN2--YES1,ENSG00000132205,EMILIN2,ENSG00000132205,YES1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EML3--HOMER3,ENSG00000149499,EML3,ENSG00000149499,HOMER3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EML4--STK17A,ENSG00000143924,EML4,ENSG00000143924,STK17A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EML5--BLOC1S6,ENSG00000165521,EML5,ENSG00000165521,BLOC1S6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EMR2--VASP,,EMR2,,VASP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EMX2OS--EMX2,ENSG00000229847,EMX2OS,ENSG00000229847,EMX2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENOPH1--BMPR1B,ENSG00000145293,ENOPH1,ENSG00000145293,BMPR1B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENOPH1--HNRNPD,ENSG00000145293,ENOPH1,ENSG00000145293,HNRNPD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENPP4--CDC42,ENSG00000001561,ENPP4,ENSG00000001561,CDC42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ENTPD1--AFF1,ENSG00000138185,ENTPD1,ENSG00000138185,AFF1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
