Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
B2M--CDK2AP1,ENSG00000166710,B2M,ENSG00000166710,CDK2AP1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--CHD1,ENSG00000166710,B2M,ENSG00000166710,CHD1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--CIC,ENSG00000166710,B2M,ENSG00000166710,CIC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--CLK1,ENSG00000166710,B2M,ENSG00000166710,CLK1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--COTL1,ENSG00000166710,B2M,ENSG00000166710,COTL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--CREBBP,ENSG00000166710,B2M,ENSG00000166710,CREBBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
B2M--CRELD2,ENSG00000166710,B2M,ENSG00000166710,CRELD2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--CSNK1D,ENSG00000166710,B2M,ENSG00000166710,CSNK1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
B2M--CTBP1,ENSG00000166710,B2M,ENSG00000166710,CTBP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--DCAF5,ENSG00000166710,B2M,ENSG00000166710,DCAF5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--DUSP4,ENSG00000166710,B2M,ENSG00000166710,DUSP4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--EIF4ENIF1,ENSG00000166710,B2M,ENSG00000166710,EIF4ENIF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B2M--ELMSAN1,ENSG00000166710,B2M,ENSG00000166710,ELMSAN1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--FEM1B,ENSG00000166710,B2M,ENSG00000166710,FEM1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
B2M--FYTTD1,ENSG00000166710,B2M,ENSG00000166710,FYTTD1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--HIVEP1,ENSG00000166710,B2M,ENSG00000166710,HIVEP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--HMHA1,ENSG00000166710,B2M,ENSG00000166710,HMHA1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--HNRNPD,ENSG00000166710,B2M,ENSG00000166710,HNRNPD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--HNRNPF,ENSG00000166710,B2M,ENSG00000166710,HNRNPF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--ICOSLG,ENSG00000166710,B2M,ENSG00000166710,ICOSLG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--IFNGR1,ENSG00000166710,B2M,ENSG00000166710,IFNGR1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--IGF1R,ENSG00000166710,B2M,ENSG00000166710,IGF1R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--IQSEC1,ENSG00000166710,B2M,ENSG00000166710,IQSEC1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--IRF4,ENSG00000166710,B2M,ENSG00000166710,IRF4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--ISYNA1,ENSG00000166710,B2M,ENSG00000166710,ISYNA1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--JUP,ENSG00000166710,B2M,ENSG00000166710,JUP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--KIF21B,ENSG00000166710,B2M,ENSG00000166710,KIF21B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--KLF11,ENSG00000166710,B2M,ENSG00000166710,KLF11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--KLHL24,ENSG00000166710,B2M,ENSG00000166710,KLHL24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--LONRF1,ENSG00000166710,B2M,ENSG00000166710,LONRF1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--LPCAT1,ENSG00000166710,B2M,ENSG00000166710,LPCAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
B2M--LRPAP1,ENSG00000166710,B2M,ENSG00000166710,LRPAP1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--LTK,ENSG00000166710,B2M,ENSG00000166710,LTK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--MAEA,ENSG00000166710,B2M,ENSG00000166710,MAEA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--MED13L,ENSG00000166710,B2M,ENSG00000166710,MED13L,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--METRNL,ENSG00000166710,B2M,ENSG00000166710,METRNL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--MXI1,ENSG00000166710,B2M,ENSG00000166710,MXI1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
B2M--MYO5A,ENSG00000166710,B2M,ENSG00000166710,MYO5A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--NUFIP2,ENSG00000166710,B2M,ENSG00000166710,NUFIP2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--OSBPL2,ENSG00000166710,B2M,ENSG00000166710,OSBPL2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--P2RX5,ENSG00000166710,B2M,ENSG00000166710,P2RX5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--PDGFB,ENSG00000166710,B2M,ENSG00000166710,PDGFB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--PER1,ENSG00000166710,B2M,ENSG00000166710,PER1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--PHF10,ENSG00000166710,B2M,ENSG00000166710,PHF10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--PPIA,ENSG00000166710,B2M,ENSG00000166710,PPIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--PPP2R5C,ENSG00000166710,B2M,ENSG00000166710,PPP2R5C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
B2M--PRKAA1,ENSG00000166710,B2M,ENSG00000166710,PRKAA1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--PTTG1IP,ENSG00000166710,B2M,ENSG00000166710,PTTG1IP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--RAB12,ENSG00000166710,B2M,ENSG00000166710,RAB12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--RANGAP1,ENSG00000166710,B2M,ENSG00000166710,RANGAP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--RBM17,ENSG00000166710,B2M,ENSG00000166710,RBM17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
B2M--RBM38,ENSG00000166710,B2M,ENSG00000166710,RBM38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
B2M--RRBP1,ENSG00000166710,B2M,ENSG00000166710,RRBP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--SBF1,ENSG00000166710,B2M,ENSG00000166710,SBF1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
B2M--SBNO2,ENSG00000166710,B2M,ENSG00000166710,SBNO2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--SPEN,ENSG00000166710,B2M,ENSG00000166710,SPEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--SPRY2,ENSG00000166710,B2M,ENSG00000166710,SPRY2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--ST6GALNAC6,ENSG00000166710,B2M,ENSG00000166710,ST6GALNAC6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--SUMO3,ENSG00000166710,B2M,ENSG00000166710,SUMO3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--SYNCRIP,ENSG00000166710,B2M,ENSG00000166710,SYNCRIP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--TBC1D22A,ENSG00000166710,B2M,ENSG00000166710,TBC1D22A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B2M--TIPARP,ENSG00000166710,B2M,ENSG00000166710,TIPARP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--TMC6,ENSG00000166710,B2M,ENSG00000166710,TMC6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--TMEM2,ENSG00000166710,B2M,ENSG00000166710,TMEM2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--TNIP1,ENSG00000166710,B2M,ENSG00000166710,TNIP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--TOB1,ENSG00000166710,B2M,ENSG00000166710,TOB1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
B2M--TP53BP2,ENSG00000166710,B2M,ENSG00000166710,TP53BP2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--TPD52L2,ENSG00000166710,B2M,ENSG00000166710,TPD52L2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--UBE3A,ENSG00000166710,B2M,ENSG00000166710,UBE3A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--USP36,ENSG00000166710,B2M,ENSG00000166710,USP36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--XPO1,ENSG00000166710,B2M,ENSG00000166710,XPO1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--YPEL5,ENSG00000166710,B2M,ENSG00000166710,YPEL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
B2M--YWHAE,ENSG00000166710,B2M,ENSG00000166710,YWHAE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--ZMYM2,ENSG00000166710,B2M,ENSG00000166710,ZMYM2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
B2M--ZNF106,ENSG00000166710,B2M,ENSG00000166710,ZNF106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--ZNF516,ENSG00000166710,B2M,ENSG00000166710,ZNF516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B2M--ZNF706,ENSG00000166710,B2M,ENSG00000166710,ZNF706,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B2M--ZNF800,ENSG00000166710,B2M,ENSG00000166710,ZNF800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
B3GALNT2--TARBP1,ENSG00000162885,B3GALNT2,ENSG00000162885,TARBP1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--AC013394.2,ENSG00000176597,B3GNT5,ENSG00000176597,AC013394.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--BCL6,ENSG00000176597,B3GNT5,ENSG00000176597,BCL6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--CCNG2,ENSG00000176597,B3GNT5,ENSG00000176597,CCNG2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--CHD2,ENSG00000176597,B3GNT5,ENSG00000176597,CHD2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--CXCR4,ENSG00000176597,B3GNT5,ENSG00000176597,CXCR4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--GMEB2,ENSG00000176597,B3GNT5,ENSG00000176597,GMEB2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--PPP4R2,ENSG00000176597,B3GNT5,ENSG00000176597,PPP4R2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT5--PTP4A1,ENSG00000176597,B3GNT5,ENSG00000176597,PTP4A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B3GNT5--TFRC,ENSG00000176597,B3GNT5,ENSG00000176597,TFRC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNT7--PTMA,ENSG00000156966,B3GNT7,ENSG00000156966,PTMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
B3GNTL1--BAIAP2,ENSG00000175711,B3GNTL1,ENSG00000175711,BAIAP2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B3GNTL1--NFIL3,ENSG00000175711,B3GNTL1,ENSG00000175711,NFIL3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B4GALT3--KCNJ10,ENSG00000158850,B4GALT3,ENSG00000158850,KCNJ10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BACH1--KIAA0226L,ENSG00000156273,BACH1,ENSG00000156273,KIAA0226L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BACH2--EYS,ENSG00000112182,BACH2,ENSG00000112182,EYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BACH2--EZR,ENSG00000112182,BACH2,ENSG00000112182,EZR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAG4--TCEA1,ENSG00000156735,BAG4,ENSG00000156735,TCEA1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAIAP2--ASPSCR1,ENSG00000175866,BAIAP2,ENSG00000175866,ASPSCR1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAIAP2--TBCD,ENSG00000175866,BAIAP2,ENSG00000175866,TBCD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAIAP2--USP36,ENSG00000175866,BAIAP2,ENSG00000175866,USP36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANK1--METAP1,ENSG00000153064,BANK1,ENSG00000153064,METAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
BANP--ANKRD11,ENSG00000172530,BANP,ENSG00000172530,ANKRD11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANP--ASXL1,ENSG00000172530,BANP,ENSG00000172530,ASXL1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANP--CBFA2T3,ENSG00000172530,BANP,ENSG00000172530,CBFA2T3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANP--CSNK2A2,ENSG00000172530,BANP,ENSG00000172530,CSNK2A2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANP--KDM4B,ENSG00000172530,BANP,ENSG00000172530,KDM4B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANP--KLHL36,ENSG00000172530,BANP,ENSG00000172530,KLHL36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
BANP--RABL6,ENSG00000172530,BANP,ENSG00000172530,RABL6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANP--RNF166,ENSG00000172530,BANP,ENSG00000172530,RNF166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BANP--TRAF7,ENSG00000172530,BANP,ENSG00000172530,TRAF7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BANP--USP36,ENSG00000172530,BANP,ENSG00000172530,USP36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BASP1--FEM1C,ENSG00000176788,BASP1,ENSG00000176788,FEM1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BASP1--FGD5-AS1,ENSG00000176788,BASP1,ENSG00000176788,FGD5-AS1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BASP1--LARP1,ENSG00000176788,BASP1,ENSG00000176788,LARP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BASP1--NFIL3,ENSG00000176788,BASP1,ENSG00000176788,NFIL3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BASP1--NR3C1,ENSG00000176788,BASP1,ENSG00000176788,NR3C1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--AC013394.2,ENSG00000198604,BAZ1A,ENSG00000198604,AC013394.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BAZ1A--ACTB,ENSG00000198604,BAZ1A,ENSG00000198604,ACTB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--ARID4A,ENSG00000198604,BAZ1A,ENSG00000198604,ARID4A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--CFL2,ENSG00000198604,BAZ1A,ENSG00000198604,CFL2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--CHD2,ENSG00000198604,BAZ1A,ENSG00000198604,CHD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
BAZ1A--IRF2BP2,ENSG00000198604,BAZ1A,ENSG00000198604,IRF2BP2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--RNF219-AS1,ENSG00000198604,BAZ1A,ENSG00000198604,RNF219-AS1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--SET,ENSG00000198604,BAZ1A,ENSG00000198604,SET,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--TAOK1,ENSG00000198604,BAZ1A,ENSG00000198604,TAOK1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ1A--TOP2B,ENSG00000198604,BAZ1A,ENSG00000198604,TOP2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BAZ2B--CCNG2,ENSG00000123636,BAZ2B,ENSG00000123636,CCNG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ2B--LSG1,ENSG00000123636,BAZ2B,ENSG00000123636,LSG1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BAZ2B--TLK1,ENSG00000123636,BAZ2B,ENSG00000123636,TLK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BCAP29--C2CD3,ENSG00000075790,BCAP29,ENSG00000075790,C2CD3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCAS1--SNTA1,ENSG00000064787,BCAS1,ENSG00000064787,SNTA1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCAS4--LIMD2,ENSG00000124243,BCAS4,ENSG00000124243,LIMD2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCAT1--C2CD5,ENSG00000060982,BCAT1,ENSG00000060982,C2CD5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL10--KANK2,ENSG00000142867,BCL10,ENSG00000142867,KANK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BCL11B--PAPOLA,ENSG00000127152,BCL11B,ENSG00000127152,PAPOLA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL11B--RP11-7F17.5,ENSG00000127152,BCL11B,ENSG00000127152,RP11-7F17.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL11B--UBC,ENSG00000127152,BCL11B,ENSG00000127152,UBC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2--RP11-731F5.2,ENSG00000171791,BCL2,ENSG00000171791,RP11-731F5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2A1--AHNAK,ENSG00000140379,BCL2A1,ENSG00000140379,AHNAK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2A1--FAM49B,ENSG00000140379,BCL2A1,ENSG00000140379,FAM49B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2A1--NABP1,ENSG00000140379,BCL2A1,ENSG00000140379,NABP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2A1--PELI1,ENSG00000140379,BCL2A1,ENSG00000140379,PELI1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2A1--QSOX1,ENSG00000140379,BCL2A1,ENSG00000140379,QSOX1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2L1--GTPBP1,ENSG00000171552,BCL2L1,ENSG00000171552,GTPBP1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2L1--HMOX1,ENSG00000171552,BCL2L1,ENSG00000171552,HMOX1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2L11--PTMA,ENSG00000153094,BCL2L11,ENSG00000153094,PTMA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
BCL2L11--RP11-731F5.2,ENSG00000153094,BCL2L11,ENSG00000153094,RP11-731F5.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL2L11--SEMA4C,ENSG00000153094,BCL2L11,ENSG00000153094,SEMA4C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BCL6--CASC11,ENSG00000113916,BCL6,ENSG00000113916,CASC11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
BCL6--CIITA,ENSG00000113916,BCL6,ENSG00000113916,CIITA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BCL6--FYTTD1,ENSG00000113916,BCL6,ENSG00000113916,FYTTD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
BCL6--KIAA0226L,ENSG00000113916,BCL6,ENSG00000113916,KIAA0226L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BCL6--LPP,ENSG00000113916,BCL6,ENSG00000113916,LPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
BCL7A--AICDA,ENSG00000110987,BCL7A,ENSG00000110987,AICDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
